topHeadlineFeatures,name,brand,mainImageUrl,phoneType,restImageUrl,bestBuyPrice,colors,processor,releasedOS,accessories,additionalFeatures,ram,overViewDescription,overViewReleaseDate,overViewMarketStaus,overViewPhoneWeight,overViewDimension,overViewBodyMaterial,overViewReleaseOS,cameraFrontcameraInMegaPixalWithFeatures,cameraRearCameraInMegaPixalWithFeatures,cameraVideoResolution,cameraOtherCameraFeatures,displayScreenSize,displayScreenResolution,displayScreenMaterial,displayDisplayTechnology,displayDtherDisplayFeatures,batteryTalkTime,batteryBatteryCapacity,batteryBatteryTechnology,InternalStorage,ExpendableStorageFeatures,connectivityAndFeaturesWireLessConnectivityFeatures,connectivityAndFeaturesDualSimSupportabilty,connectivityAndFeaturesBluetoothVersion,connectivityAndFeaturesSimCardSize,connectivityAndFeaturesChargingOptions,connectivityAndFeaturesSensors,connectivityAndFeaturesothersConnectivityFeatures,connectivityAndFeaturesNetworkFeatures
"Battery:3100 mAh, Li-ion|Non removable~Camera:13 MP Primary|Dual-color LED Flash|5 MP Front~Performance:Octa Core, 1.3 GHz|MediaTek MT6753|2 GB RAM~Display:5.5 inches (Large)|Full HD , Very sharp",Meizu M2 Note,Meizu,,,,"9,999",Blue~Gray~Pink~White,"Octa core, 1.3 GHz, Cortex A53",Android v5.0 (Lollipop),Chipset:MediaTek MT6753~Architecture:64 bit~Graphics:Mali-T720 MP3,"Design and display:The MEIZU m2 note offers an attractive design featuring a polycarbonate rear panel with a matte finish. The smartphone is available in various colours like pink, blue, white, and a new grey colour. The device measures quite slim offering a waistline of 8.7mm, and is quite light at 149 grams. %Connectivity and battery:The m2 note offers 4G LTE network support for a budget. The device has two SIM card slots, which support India's both LTE bands. Apart from 4G LTE, the smartphone offers a plethora of connectivity options including 3G, dual-band Wi-Fi, Wi-Fi Direct, Wi-Fi Hotspot, Bluetooth 4.0, and GPS. To keep the show running, the handset gets a massive 3,100mAh battery, which ensures long lasting usage. %Camera and storage:The MEIZU m2 note is equipped with impressive camera specifications including a 13MP rear shooter and a 5MP front snapper. The primary camera is aided by a dual-tone LED flash, an Image Signal Processor for better low-light photography, and offers 4K video recording support. The selfie-centric front camera comes with a selfie timer and an intelligent beauty mode. %Configuration and software:The MEIZU m2 note offers 64-bit computing, thanks to the octa-core MediaTek MT6753 processor under the hood. The performance is further enhanced by 2GB of RAM. It also has a Mali T720-MP3 GPU to deliver smooth gaming experience with rich graphics.",2 GB,,"August 10, 2015 (Official)",,149 grams,150.9 (H) x 75.2 (W) x 8.7 (T) mm,,,Resolution:5 MP,"Resolution:13 MP~Sensor:CMOS image sensor~Aperture:2.2 F~Flash:Dual-color LED Flash~Image Resolution:4128 x 3096 Pixels~Settings:Exposure compensation, ISO control~Shooting Modes:Continuos Shooting, High Dynamic Range mode (HDR)~Camera Features:4 x Digital Zoom, Auto Flash, Digital image stabilization, Face detection, Touch to focus~Video Recording:1920x1080 @ 30 fps",,,5.5 inches,Full HD (1080 x 1920 pixels),IPS LCD,,"SIM Size:SIM1: Hybrid(Nano) SIM2: Nano~Touch Screen:Capacitive Touchscreen, Multi-touch",,3100 mAh,Li-ion,16 GB,Up to 128 GB,"4G: Available (supports Indian bands) 3G: Available, 2G: Available",,,,,,SIM Size:SIM1: Hybrid(Nano) SIM2: Nano,"Dual SIM, GSM+GSM"
"Battery:1400 mAh, Li-ion|3.5 Hours talktime (3G)~Camera:2 MP Primary|LED Flash|0.3 MP Front~Performance:Single Core, 1 GHz|Spreadtrum SC7715|256 MB RAM~Display:4.0 inches (Small)|480x480 px, Low sharp.|Gorilla Glass",Intex Aqua 3G Strong,Intex,,,,"2,522",Black,"Single core, 1 GHz",Android v4.4.2 (Kitkat),Chipset:Spreadtrum SC7715~Graphics:Mali-400,"Display, configuration and software:The Intex Aqua 3G Strong is an entry-level Android phone for first time smartphone users. The device comes with a compact 4-inch display offering a screen resolution of 480 x 800 pixels and a layer of Corning Gorilla Glass 3. The phone has an appealing design with a brushed metal finish at the rear panel, and measures 10.1mm around the waist.%Connectivity and battery:The Intex Aqua 3G Strong offers most of the connectivity options users can expect in a budget device. For personal and professional numbers, it offers dual-SIM support, and comes with 3G, Wi-Fi, Wi-Fi Hotspot, Bluetooth, microUSB, and GPS connectivity options. The handset is backed by decent 1,400mAh battery, which promises to deliver 3.5 hours of talk time and 180 hours of standby time when the device is connected to 3G networks. %Camera and storage:For imaging, the Intex Aqua 3G Strong offers a decent 2MP rear camera with an LED flash. For selfies and video-calling purpose, thereÂ?s a VGA shooter on the front. There is 512MB of internal memory on board, which users can easily further increase up to 32GB using a microSD card. ",256 MB,,"June 2, 2015 (Official)",,,122.2 (H) x 63.3 (W) x 10.1 (T) mm,,,Resolution:0.3 MP,Resolution:2 MP~Flash:LED Flash~Image Resolution:1600 x 1200 Pixels~Camera Features:Digital Zoom,,,4.0 inches,480 x 480 pixels,TFT,,"null~Touch Screen:Capacitive Touchscreen, Multi-touch",Talktime:Up to 3.5 Hours(3G)Standby Time:Up to 180 Hours(3G),1400 mAh,Li-ion,512 MB,Up to 32 GB,"4G: Not Available, 3G: Available, 2G: Available",,,,,,,"Dual SIM, GSM+GSM"
"Battery:1400 mAh, Li-ion|3.5 Hours talktime (3G)~Camera:2 MP Primary|LED Flash|0.3 MP Front~Performance:Single Core, 1 GHz|Spreadtrum SC7715|512 MB RAM~Display:4.0 inches (Small)|480x800 px, Avg. sharp.|Gorilla Glass",Intex Aqua 3G Pro,Intex,,,,"2,798",Black,"Single core, 1 GHz",Android v4.4.2 (Kitkat),Chipset:Spreadtrum SC7715~Graphics:Mali-400,":%Connectivity and battery:In terms of connectivity, the Intex Aqua 3G Pro packs a bag - dual-SIM slots, 3G, Wi-Fi, Bluetooth, micro-USB, Wi-Fi Hotspot, and A-GPS. To keep the show running, the handset is loaded with a decent 1,400mAh battery that delivers 3.5 hours of talk time and a solid 180 hours of standby time. %Display, configuration and OS:The Intex Aqua 3G Pro offers a compact 4-inch display bearing a resolution of 480 x 800 pixels, which makes it a suitable device for single hand use. The device features an appealing design with a brushed metal finish. It measures 10.1mm around the waist and weighs just a little over 100 grams. %Camera and storage:The Aqua 3G Pro sports a decent 2-megapixel primary shooter with an LED flash, and a VGA front-facing snapper for selfies and video calling. For all your storage needs, the phone is loaded with a decent 4-gigabyte of internal memory. If that isn't enough for you, the storage can be further increased by up to 32GB. ",512 MB,,"June 2, 2015 (Official)",,107 grams,125.2 (H) x 63.3 (W) x 10 (T) mm,,,Resolution:0.3 MP,Resolution:2 MP~Flash:LED Flash~Image Resolution:1600 x 1200 Pixels~Camera Features:Digital Zoom,,,4.0 inches,480 x 800 pixels,TFT,,"null~Touch Screen:Capacitive Touchscreen, Multi-touch",Talktime:Up to 3.5 Hours(3G)Standby Time:Up to 180 Hours(3G),1400 mAh,Li-ion,4 GB,Up to 32 GB,"4G: Not Available, 3G: Available, 2G: Available",,,,,,,"Dual SIM, GSM+GSM"
"Battery:2600 mAh, Li-Polymer|12 Hours talktime (3G)|Non removable~Camera:13 MP Primary|LED Flash|8 MP Front~Performance:Octa Core, 1.7 GHz|MediaTek MT6592|1 GB RAM~Display:5.5 inches (Large)|HD, Avg. sharp.",HTC Desire 820G Plus Dual SIM,HTC,,,,"12,440",Gray~White,"Octa core, 1.7 GHz, Cortex A7",Android v4.4 (Kitkat),Chipset:MediaTek MT6592~Graphics:Mali-450 MP4~USB OTG Support:No,"Design and display:The HTC Desire 820G Plus offers the same design language that the other Desire series mid-range Android smartphones. The phone comes with a plastic body, which measures quite slim at 7.7mm and weighs just 154.5 grams, even being a phablet category offering. The smartphone comes with dual front-firing HTC BoomSound speakers for immersive media experience. Also, it supports the brand's Dot View Bright Display case, which show information right on the cover, without having the need to open it.%Configuration and software :The HTC Desire 820G+ is one of the Android phones to offer octa-core performance for a budget. The smartphone is powered by a 1.7GHz octa-core MediaTek MT6592 processor. The performance is further enhanced by a Mali 450-MP4 graphics processor and 1GB of RAM. %Camera and storage:To provide quality photography experience, the HTC Desire 820G Plus sports a decent 13-megapixel primary camera with an LED flash, a BSI sensor, and full HD video recording support. To capture quality self-portraits and video calling, the smartphone comes with an 8-megapixel secondary shooter with a BSI sensor and full HD video recording. The camera app of the phone comes pre-loaded with several software tweaks.%Connectivity and battery :In terms of connectivity, the Desire 820G Plus offers the regular array of options including dual-SIM support, 3G, Wi-Fi, Wi-Fi Hotspot, Bluetooth, FM Radio, and A-GPS. For long lasting gaming and web browsing seasons, the phone houses a 2,600mAh battery, which promises to deliver 12 hours of talk time and 560 hours of standby time.",1 GB,,"June 27, 2015 (Official)",,154 grams,157.7 (H) x 78.7 (W) x 7.7 (T) mm,,,Resolution:8 MP~Sensor:BSI Sensor~Autofocus:No~Flash:No,"Resolution:13 MP~Sensor:Back-illuminated sensor (BSI)~Autofocus:~Aperture:2.2 F~Optical Image Stabilisation:No~Flash:LED Flash~Image Resolution:4128 x 3096 Pixels~Settings:Exposure compensation, ISO control~Shooting Modes:High Dynamic Range mode (HDR)~Camera Features:Digital Zoom, Auto Flash, Face detection, Touch to focus~Video Recording:1920x1080 @ 30 fps",,,5.5 inches,HD (720 x 1280 pixels),IPS LCD,,SIM Size:SIM1: Nano~Fingerprint Sensor:No~Quick Charging:No~Screen to Body Ratio:67.04 %,Talktime:Up to 12 Hours(3G) / Up to 32 Hours(2G)Standby Time:Up to 560 Hours(3G) / Up to 600 Hours(2G),2600 mAh,Li-Polymer,16 GB,Up to 32 GB,"4G: Not Available, 3G: Available, 2G: Available",,,,,,SIM Size:SIM1: Nano~Fingerprint Sensor:No~Quick Charging:No,"Dual SIM, GSM+GSM"
"Battery:3000 mAh, Li-ion~Camera:16 MP Primary|LED Flash|8 MP Front~Performance:Hexa Core, 1.8 GHz|Snapdragon 808|3 GB RAM~Display:5.5 inches (Large)|1440x2560 px, Very sharp|Gorilla Glass",LG G4 Dual,LG,,,,"30,200",Black~Brown~Gold~Gray~Red~White,"Hexa Core, 1.8 GHz, ARM Cortex A57",Android v5.1 (Lollipop),Chipset:Qualcomm Snapdragon 808 MSM8992~Architecture:64 bit~Graphics:Adreno 418,"Display and configuration:The LG G4 Dual is among few of the Android phones to offer QHD screen resolution. The phone flaunts a large 5.5-inch Quantum LCD display that offers a pixel density of 538ppi. The Quantum LCD screen panel delivers 20 percent wider colour reproduction, 25 percent higher brightness, and 50 percent higher contrast than the LG G3. The smartphone sports a slim-arc design, with a 3,000mm radius, which offers 20 percent increase in rigidity when compared to its predecessor.%Connectivity and battery:Apart from offering dual-SIM slots, the LG G4 has several connectivity options including 4G LTE networks support, Bluetooth 4.1, Wi-Fi (including latest ac standard), NFC, A-GPS, DLNA, USB 2.0, and video out via Slimport for up to 4K resolution. A 3,000mAh battery keeps the device running, which supports wireless and quick-charging.%Camera and storage:For imaging, the LG G4 sports a 16MP rear camera with f/1.8 lens, optical image stabilisation 2.0, a dual-LED flash, colour-spectrum sensor, and laser autofocus. The phone also houses an impressive 8MP front snapper that is capable of recording 2,160p videos. Its camera application offers quite a handful of software tweaks like recording RAW images, manual shutter speed, ISO settings, and capturing panoramas up to 104MP. ",3 GB,,"June 1, 2015 (Official)",,155 grams,148.9 (H) x 76.1 (W) x 9.8 (T) mm,,,Resolution:8 MP,"Resolution:16 MP~Autofocus:Phase Detection autofocus, Laser autofocus~Aperture:1.8 F~Optical Image Stabilisation:Optical Image Stabilization Plus~Flash:LED Flash~Image Resolution:5312 x 2988 Pixels~Settings:Exposure compensation, ISO control~Shooting Modes:High Dynamic Range mode (HDR)~Camera Features:Digital Zoom, Auto Flash, Face detection, Simultaneous HD video and image recording~Video Recording:3840x2160 @ 30 fps, 1920x1080 @ 60 fps, 1280x720 @ 120 fps~Video Recording Features:Optical Image stabilization",,,5.5 inches,1440 x 2560 pixels,IPS LCD,,Also Known As:LG G4 H818N~SIM Size:SIM1: Micro~Screen to Body Ratio:73.42 %,,3000 mAh,Li-ion,32 GB,Up to 2 TB,"4G: Available (supports Indian bands) 3G: Available, 2G: Available",,,,,,Also Known As:LG G4 H818N~SIM Size:SIM1: Micro,"Dual SIM, GSM+GSM"
"Battery:3000 mAh, Li-Polymer|Non removable~Camera:13 MP Primary|Dual-color LED Flash|13 MP Front~Performance:Quad Core, 1.7 GHz...|Snapdragon 615|2 GB RAM~Display:5.5 inches (Large)|Full HD , Very sharp|Gorilla Glass",Asus Zenfone Selfie,Asus,,,,"13,484",Blue~Pink~White,"Quad core, 1.7 GHz, Cortex A53 + Quad core, 1 GHz, Cortex A53",Android v5.0 (Lollipop),Chipset:Qualcomm Snapdragon 615 MSM8939~Architecture:64 bit~Graphics:Adreno 405~USB OTG Support:,"Camera and Storage:The Asus Zenfone Selfie smartphone impresses you with its cameras. It is armed with a 13MP auto focus rear camera with LED flash. The camera can shoot Full HD videos at 30fps and is aided by features like Face detection, Geo tagging, High Dynamic Range mode (HDR) and Touch to focus. The most exciting feature in this phone is a 13MP front camera which is also accompanied by an LED flash, and can take the selfie experience to a higher pedestal. It is available in two storage options - 16GB and 32GB, along with a microSD card slot which can take another 128GB.%Battery and Connectivity:The smartphone is fuelled by a 3,000mAh Li-Polymer battery. Connectivity options available in the smartphone are - 4G, Wi-Fi 802.11, a/ac/b/g/n, GPRS, EDGE, Bluetooth, USB etc.%Display and Configuration:The Asus Zenfone Selfie carries a 5.5-inch IPS LCD capacitive multi-touch display. It is capable of providing a maximum resolution of 1080 x 1920 pixels (Full HD) and has pixel density of 403 ppi. It renders excellent viewing angles and gives you a perfect visibility even under the direct sunlight. ",2 GB,,"October 1, 2015 (Official)",,170 grams,156.5 (H) x 77.2 (W) x 10.8 (T) mm,,,Resolution:13 MP~Autofocus:~Flash:Dual-Color LED Flash,"Resolution:13 MP~Sensor:Back-illuminated sensor (BSI)~Autofocus:Laser autofocus~Aperture:2.0 F~Optical Image Stabilisation:No~Flash:Dual-color LED Flash~Image Resolution:4128 x 3096 Pixels~Settings:Exposure compensation, ISO control~Shooting Modes:Continuos Shooting, High Dynamic Range mode (HDR)~Camera Features:Digital Zoom, Auto Flash, Digital image stabilization, Face detection, Touch to focus~Video Recording:1920x1080 @ 30 fps",,,5.5 inches,Full HD (1080 x 1920 pixels),IPS LCD,,Also Known As:Asus ZenFone Selfie ZD551KL~Custom UI:Zen UI 2.0~SIM Size:SIM1: Micro SIM2: Micro~Fingerprint Sensor:No~Quick Charging:No~Screen to Body Ratio:68.86 %,,3000 mAh,Li-Polymer,16 GB,Up to 128 GB,"4G: Available (supports Indian bands) 3G: Available, 2G: Available",,,,,,Also Known As:Asus ZenFone Selfie ZD551KL~Custom UI:Zen UI 2.0~SIM Size:SIM1: Micro SIM2: Micro~Fingerprint Sensor:No~Quick Charging:No,"Dual SIM, GSM+GSM"
"Battery:2500 mAh, Li-Polymer~Camera:8 MP Primary|LED Flash|5 MP Front~Performance:Quad Core, 1.2 GHz|Snapdragon 410|2 GB RAM~Display:5.0 inches (Medium)|HD, Avg. sharp.",Coolpad Dazen 1,Coolpad,,,,"5,654",Gray~White,"Quad core, 1.2 GHz, Cortex A53",Android v4.4 (Kitkat),Chipset:Qualcomm Snapdragon 410 MSM8916~Architecture:64 bit~Graphics:Adreno 306,"Camera and Storage:Expect this phone to give you scintillating still photos, capturing the memorable moments of your life within the frame with precision. It boasts of a 8MP autofocus rear camera with LED flash and a digital zoom. The camera is powerful enough to give you good images in low light conditions. The 5MP front snapper will make you happy with high quality selfie capture and good video calling. The phone is built with a 8GB default memory and you are entitled to extend it up to 32GB. %Battery and Connectivity:The Dual SIM (GSM+GSM) Coolpad Dazen 1 is fuelled by a 2500 mAH, Li-Po, Non-removable battery. On the connectivity front, the smartphone is equipped with a variegated platter. It includes 4G, 3G, GPRS, EDGE, Wi-Fi 802.11, b/g/n, mobile hotspot, Bluetooth, GPS, Computer sync, OTA sync, Tethering and USB connectivity.%Display and Configuration:The Coolpad Dazen 1 poses a 5-inch HD (720 x 1280 pixels) IPS LCD capacitive multi-touch display with a pixel density of 294 ppi which gives you a vibrant visual environment with vivid colours and good brightness and contrast levels. The IPS technology gives you good viewing angles from all directions. The smartphone looks good in your hand as it is beautifully wrapped in a  slim 9.3 mm grey or white outfit and weighs 155 grams.",2 GB,,"May 28, 2015 (Official)",,155 grams,141 (H) x 71.5 (W) x 9.3 (T) mm,,,Resolution:5 MP~Flash:No,"Resolution:8 MP~Autofocus:~Aperture:2.2 F~Optical Image Stabilisation:No~Flash:LED Flash~Image Resolution:3264 x 2448 Pixels~Shooting Modes:High Dynamic Range mode (HDR)~Camera Features:Digital Zoom, Auto Flash, Smile detection",,,5.0 inches,HD (720 x 1280 pixels),IPS LCD,,SIM Size:SIM1: Micro SIM2: Micro~Fingerprint Sensor:No~Screen to Body Ratio:68.2 %,,2500 mAh,Li-Polymer,8 GB,Up to 32 GB,"4G: Available (supports Indian bands) 3G: Available, 2G: Available",,,,,,SIM Size:SIM1: Micro SIM2: Micro~Fingerprint Sensor:No,"Dual SIM, GSM+GSM"
"Battery:1600 mAh, Li-ion~Camera:5 MP Primary|Dual LED Flash|1.3 MP Front~Performance:Quad Core, 1.2 GHz|512 MB RAM~Display:4.5 inches (Medium)|480x854 px, Avg. sharp.",Intex Cloud N12 Plus,Intex,,,,"4,450",White,"Quad core, 1.2 GHz",Android v4.2.2 (Jelly Bean),,"Display and configuration:The Intex Cloud N12 Plus is among the most affordable Android KitKat-powered smartphones in India. The device sports a 4.5-inch capacitive display bearing a resolution of 854 x 480 pixels. The phone is powered by a 1.2GHz quad-core Spreadtrum processor, which is further supported by 512MB of RAM.%Connectivity and battery:In terms of connectivity, the Intex Cloud N12 Plus has dual-SIM slots, 3G, Wi-Fi, Bluetooth, and GPS. The device is backed by a 1,600mAh battery, which promises to deliver six hours of talk time and 150 hours of standby time. %Camera and storage:For imaging, the Intex Cloud N12 Plus sports a 5MP rear camera with an LED flash and a 1.3MP front shooter for selfies. The device houses decent 8GB of internal memory, which can be further increased by up to 32GB via a microSD card.",512 MB,,"May 27, 2015 (Official)",,,135.6 (H) x 66.5 (W) x 9.6 (T) mm,,,Resolution:1.3 MP,Resolution:5 MP~Flash:Dual LED Flash~Image Resolution:2592 x 1944 Pixels~Camera Features:Digital Zoom,,,4.5 inches,480 x 854 pixels,TFT,,"SIM Size:SIM1: Micro~Touch Screen:Capacitive Touchscreen, Multi-touch",,1600 mAh,Li-ion,8 GB,Up to 32 GB,"3G: Available, 2G: Available",,,,,,SIM Size:SIM1: Micro,"Dual SIM, GSM+GSM"
"Battery:3000 mAh, Li-Polymer|Non removable~Camera:8 MP Primary|LED Flash|2 MP Front~Performance:Quad Core, 1.3 GHz|MediaTek MT6582M|1 GB RAM~Display:6.0 inches (Large)|540x960 px, Low sharp.|Gorilla Glass",Micromax Canvas Doodle 4 Q391,Micromax,,,,"6,399",Black~White,"Quad core, 1.3 GHz",Android v5.0 (Lollipop),Chipset:MediaTek MT6582M~Graphics:Mali-400 MP2~USB OTG Support:,"Camera, connectivity and battery:The Micromax Canvas Doodle 4 Q391 features an 8MP rear camera along with LED flash, and a 2MP front snapper. It is fuelled by a 3,000mAh battery. Connectivity-wise, the device offers features like 3G, Bluetooth, GPS, Wi-Fi, USB etc. The Canvas Doodle 4 comes bundled with a stylus pen.%UI and configuration:The Micromax Canvas Doodle 4 Q391 runs Android 5.0 Lollipop out of the box. It gets processing power from a 1.3GHz quad-core processor, which is aided by 1GB of RAM. The phone houses 8GB of memory, which can be expanded further by 32GB using microSD cards.%Display:The Micromax Canvas Doodle 4 Q391 offers an extra-large 6-inch HD display, making it an optimal choice for the people who crave to have a big screen to watch movies, play games and do all their scribbling on the go. Despite of being a budget device, the company has equipped it with Gorilla Glass protection, enabling to survive a few bumps.",1 GB,,"May 29, 2015 (Official)",,,165.5 (H) x 85.3 (W) x 8.3 (T) mm,,,Resolution:2 MP~Autofocus:No~Flash:No,"Resolution:8 MP~Sensor:CMOS image sensor~Autofocus:~Optical Image Stabilisation:No~Flash:LED Flash~Image Resolution:3264 x 2448 Pixels~Settings:Exposure compensation, ISO control~Shooting Modes:Continuos Shooting, High Dynamic Range mode (HDR)~Camera Features:Digital Zoom, Auto Flash, Digital image stabilization, Face detection, Touch to focus~Video Recording:1920x1080 @ 30 fps",,,6.0 inches,540 x 960 pixels,IPS LCD,,SIM Size:SIM1: Micro SIM2: Micro~Fingerprint Sensor:No~Quick Charging:No~Screen to Body Ratio:70.14 %,,3000 mAh,Li-Polymer,8 GB,Up to 32 GB,"4G: Not Available, 3G: Available, 2G: Available",,,,,,SIM Size:SIM1: Micro SIM2: Micro~Fingerprint Sensor:No~Quick Charging:No,"Dual SIM, GSM+GSM"
"Battery:2930 mAh, Li-ion|17 Hours talktime (3G)|Non removable~Camera:20.7 MP Primary|LED Flash|5.1 MP Front~Performance:Quad Core, 2 GHz...|Snapdragon 810|3 GB RAM~Display:5.2 inches (Large)|Full HD , Very sharp",Sony Xperia Z3 Plus,Sony,,,,"24,749",Black~White,"Quad core, 2 GHz, ARM Cortex A57 + Quad core, 1.5 GHz, Cortex A53",Android v5.0 (Lollipop),Chipset:Qualcomm Snapdragon 810 MSM8994~Architecture:64 bit~Graphics:Adreno 430,"Battery and Connectivity:With a 2930 mAH, Li-ion, Non-removable battery the phone gives you a talktime of 17 hours and 590 hours standby time on 3G. On the connectivity front, the phone gives you features like 4G LTE cat6 50, 3G, Wi-Fi 802.11, a/ac/b/g/n/n 5GHz, Mobile Hotspot, Wi-Fi Direct, Bluetooth v4.1,  GPS, Computer sync, DLNA, NFC, OTA sync, Tethering, TV-Out and USB connectivity.%Configuration:The Sony Xperia Z3 Plus boasts of a superior configuration at the core. It is powered by a 64-bit octa-core (quad-core 1.5GHz + quad-core 2GHz) Qualcomm Snapdragon 810 processor coupled with 3GB of RAM for ensuring a high speed performance with seamless multitasking and conserves a lot of battery life. With such a powerful configuration you can run multiple apps simultaneously, surf the web with lightning speed and stream videos without a break. The Adreno 430 GPU is very effective in running games with intensive graphics. The smartphone sails on the latest Android v5.0 (Lollipop) OS.%Display and Design:The new flagship smartphone from Sony poses a 5.2-inch IPS LCD capacitive multi-touch Triluminos display and gives you a crystal clear viewing experience with an unparallel colour palette and great viewing angles. The display has a pixel density of 424 ppi. The X-Reality for mobile picture engine optimizes the colour, sharpness and contrast of each image separately. The display is protected by a scratch resistant glass.%Camera and Storage :The smartphone is armed with a 20.7MP autofocus rear camera with  Exmor RSÂ? sensor, 25mm wide angle G Lens and LED flash. The camera houses features like Superior Auto scene recognition, SteadyShot with Intelligent Active Mode, HDR for photo and video and ISO 12800. The camera can also shoot 4K videos at 30fps, Full HD videos at 60fps and HD videos at 120fps. It also comes with a 5MP front snapper with Exmor RÂ? sensor, 25mm wide angle lens, Superior Auto scene recognition, SteadyShot with Intelligent Active Mode and HDR. With such features the front camera gives you a scintillating selfie experience. To meet the storage needs, the company has provided an internal memory of 32GB that can be expanded upto 128GB via external microSD card slot.",3 GB,,"June 26, 2015 (Official)",,144 grams,146.3 (H) x 71.9 (W) x 6.9 (T) mm,,,Resolution:5.1 MP~Sensor:Exmor-R CMOS,"Resolution:20.7 MP~Sensor:Exmor-RS CMOS Sensor~Aperture:2.0 F~Flash:LED Flash~Image Resolution:5248 x 3936 Pixels~Settings:Exposure compensation, ISO control~Shooting Modes:Continuos Shooting, High Dynamic Range mode (HDR)~Camera Features:8 x Digital Zoom, Auto Flash, Digital image stabilization, Face detection, Smile detection, Touch to focus~Video Recording:3840x2160 @ 30 fps, 1920x1080 @ 60 fps, 1280x720 @ 120 fps",,,5.2 inches,Full HD (1080 x 1920 pixels),IPS LCD,,"SIM Size:SIM1: Nano~Touch Screen:Capacitive Touchscreen, Multi-touch",Talktime:Up to 17 Hours(3G)Standby Time:Up to 590 Hours(3G),2930 mAh,Li-ion,32 GB,Up to 128 GB,"4G: Available (supports Indian bands) 3G: Available, 2G: Available",,,,,,SIM Size:SIM1: Nano,"Single SIM, GSM"
"Battery:1800 mAh, Li-ion~Camera:5 MP Primary|LED Flash|0.3 MP Front~Performance:Quad Core, 1.2 GHz|512 MB RAM~Display:4.5 inches (Medium)|480x854 px, Avg. sharp.",Karbonn Titanium Delight S22,Karbonn,,,,"3,263",Gray,"Quad core, 1.2 GHz",Android v4.4.2 (Kitkat),,"Display and configuration:The Karbonn Titanium Delight S22 is a budget Android phone offering a compact 4.5-inch display bearing a screen resolution of 480 x 854 pixels. The smartphone is among the few pocket-friendly devices to offer a 1.2GHz quad-core processor, aided by 512MB of RAM. %Connectivity and battery:On the connectivity front, the Karbonn TItanium Delight S22 offers support for dual-SIMs. It comes with 3G, Wi-Fi, Bluetooth, and GPS connectivity options. The device sips power juice from an 1,800mAh battery. %Camera and storage:For imaging, the Karbonn Titanium Delight S22 offers a 5MP primary camera with an LED flash and a 0.3MP secondary shooter. There is 4GB of internal memory on board, which can be further expanded by up to 32GB via a microSD card. ",512 MB,,"May 23, 2015 (Official)",,,,,,Resolution:0.3 MP,Resolution:5 MP~Flash:LED Flash~Image Resolution:2592 x 1944 Pixels~Camera Features:Digital Zoom,,,4.5 inches,480 x 854 pixels,TFT,,"null~Touch Screen:Capacitive Touchscreen, Multi-touch",,1800 mAh,Li-ion,4 GB,Up to 32 GB,"3G: Available, 2G: Available",,,,,,,"Dual SIM, GSM+GSM"
"Battery:2000 mAh, Li-ion~Camera:8 MP Primary|Dual LED Flash|3.2 MP Front~Performance:Octa Core, 1.4 GHz|1 GB RAM~Display:5.0 inches (Medium)|540x960 px, Avg. sharp.",IBall mSLR Cobalt 4,IBall,,,,"5,990",Brown,"Octa core, 1.4 GHz, Cortex A7",Android v4.4 (Kitkat),,"Battery and Connectivity:The Dual SIM (GSM+GSM) Smartphone is fuelled by a 2000 mAh, Li-ion battery. On the connectivity front, the device includes options such as - 3G, Wi-Fi 802.11, b/g/n, GPRS, EDGE, GPS, Bluetooth and USB connectivity.%Display and Configuration:The all new IBall mSLR Cobalt 4 features a 5-inch IPS LCD capacitive multi-touch display. It sports a maximum resolution of up to 540 x 960 pixels and garners a pixel density of 220 ppi. At the core, acting as the brains of the device is a 1.4 GHz octa-core Cortex A7 processor based on a MediaTek chipset and mated with a 1GB RAM to spur the overall performance and to give you a smooth and lag-free multitasking. The new smartphone sails on the Android v4.4 (Kitkat) OS and has support for 15 regional languages.%Camera and Storage :The IBall mSLR Cobalt 4 is armed with an 8MP autofocus rear camera with LED flash and a digital zoom which gives you a good image productivity even in low light conditions. The camera supports Full HD video recording at 30fps. Up on the front the device is spotted with a 3.2MP front snapper that allows you to capture good quality selfies and enjoy a visually satisfying video calling session. The name of the device is totally justified and this phone is nothing short of a professional camera as it comes with a detachable mSLR lens mount and four different lenses. It includes a zoom lens with 8x zoom, a fisheye lens with a 175-180 degree viewing angle, a macro lens with 10x magnification and a wide-angle lens with a 130-degree viewing angle. The smartphone gives you an internal memory of 8GB and can be further extended up to 32GB via external microSD card slot.",1 GB,,"May 23, 2015 (Official)",,,,,,Resolution:3.2 MP,"Resolution:8 MP~Flash:Dual LED Flash~Image Resolution:3264 x 2448 Pixels~Shooting Modes:High Dynamic Range mode (HDR)~Camera Features:Digital Zoom, Face detection, Touch to focus~Video Recording:1920x1080 @ 30 fps",,,5.0 inches,540 x 960 pixels,IPS LCD,,"null~Touch Screen:Capacitive Touchscreen, Multi-touch",,2000 mAh,Li-ion,8 GB,Up to 32 GB,"3G: Available, 2G: Available",,,,,,,"Dual SIM, GSM+GSM"
